,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
625,0 days 02:03:29.860000,RIC,3,0 days 00:01:21.239000,46.0,3.0,,,0 days 00:00:28.318000,0 days 00:00:18.046000,0 days 00:00:34.875000,0 days 02:02:36.899000,0 days 02:02:54.945000,0 days 02:03:29.820000,278.0,296.0,291.0,291.0,True,HARD,17.0,True,RB,0 days 02:02:08.621000,2024-03-24 05:06:51.819,1,13.0,False,,False,True
626,0 days 02:04:51.160000,RIC,3,0 days 00:01:21.300000,47.0,3.0,,,0 days 00:00:28.350000,0 days 00:00:18.044000,0 days 00:00:34.906000,0 days 02:03:58.170000,0 days 02:04:16.214000,0 days 02:04:51.120000,277.0,297.0,291.0,,False,HARD,18.0,True,RB,0 days 02:03:29.860000,2024-03-24 05:08:13.058,1,13.0,False,,False,True
627,0 days 02:06:12.652000,RIC,3,0 days 00:01:21.492000,48.0,3.0,,,0 days 00:00:28.441000,0 days 00:00:18.008000,0 days 00:00:35.043000,0 days 02:05:19.561000,0 days 02:05:37.569000,0 days 02:06:12.612000,278.0,298.0,291.0,,False,HARD,19.0,True,RB,0 days 02:04:51.160000,2024-03-24 05:09:34.358,1,13.0,False,,False,True
628,0 days 02:07:34.258000,RIC,3,0 days 00:01:21.606000,49.0,3.0,,,0 days 00:00:28.441000,0 days 00:00:18.039000,0 days 00:00:35.126000,,0 days 02:06:59.092000,0 days 02:07:34.218000,277.0,298.0,290.0,293.0,False,HARD,20.0,True,RB,0 days 02:06:12.652000,2024-03-24 05:10:55.850,1,13.0,False,,False,True
629,0 days 02:08:56.040000,RIC,3,0 days 00:01:21.782000,50.0,3.0,,,0 days 00:00:28.525000,0 days 00:00:18.038000,0 days 00:00:35.219000,0 days 02:08:02.743000,0 days 02:08:20.781000,0 days 02:08:56,278.0,297.0,290.0,292.0,False,HARD,21.0,True,RB,0 days 02:07:34.258000,2024-03-24 05:12:17.456,1,13.0,False,,False,True
630,0 days 02:10:17.809000,RIC,3,0 days 00:01:21.769000,51.0,3.0,,,0 days 00:00:28.534000,0 days 00:00:18.066000,0 days 00:00:35.169000,0 days 02:09:24.534000,0 days 02:09:42.600000,0 days 02:10:17.769000,,300.0,291.0,294.0,False,HARD,22.0,True,RB,0 days 02:08:56.040000,2024-03-24 05:13:39.238,1,13.0,False,,False,True
631,0 days 02:11:39.693000,RIC,3,0 days 00:01:21.884000,52.0,3.0,,,0 days 00:00:28.406000,0 days 00:00:18.086000,0 days 00:00:35.392000,0 days 02:10:46.175000,0 days 02:11:04.261000,0 days 02:11:39.653000,279.0,299.0,290.0,296.0,False,HARD,23.0,True,RB,0 days 02:10:17.809000,2024-03-24 05:15:01.007,1,13.0,False,,False,True
632,0 days 02:13:03.925000,RIC,3,0 days 00:01:24.232000,53.0,3.0,,,0 days 00:00:28.574000,0 days 00:00:18.108000,0 days 00:00:37.550000,0 days 02:12:08.227000,0 days 02:12:26.335000,0 days 02:13:03.885000,278.0,299.0,291.0,,False,HARD,24.0,True,RB,0 days 02:11:39.693000,2024-03-24 05:16:22.891,1,13.0,False,,False,True
633,0 days 02:14:26.493000,RIC,3,0 days 00:01:22.568000,54.0,3.0,,,0 days 00:00:28.907000,0 days 00:00:18.176000,0 days 00:00:35.485000,0 days 02:13:32.792000,0 days 02:13:50.968000,0 days 02:14:26.453000,280.0,303.0,292.0,,False,HARD,25.0,True,RB,0 days 02:13:03.925000,2024-03-24 05:17:47.123,1,13.0,False,,False,True
634,0 days 02:15:50.104000,RIC,3,0 days 00:01:23.611000,55.0,3.0,,,0 days 00:00:28.647000,0 days 00:00:18.849000,0 days 00:00:36.115000,0 days 02:14:55.100000,0 days 02:15:13.949000,0 days 02:15:50.064000,277.0,284.0,291.0,298.0,False,HARD,26.0,True,RB,0 days 02:14:26.493000,2024-03-24 05:19:09.691,1,13.0,False,,False,True
635,0 days 02:17:13.943000,RIC,3,0 days 00:01:23.839000,56.0,3.0,,,0 days 00:00:30.316000,0 days 00:00:18.061000,0 days 00:00:35.462000,0 days 02:16:20.380000,0 days 02:16:38.441000,0 days 02:17:13.903000,278.0,305.0,292.0,299.0,False,HARD,27.0,True,RB,0 days 02:15:50.104000,2024-03-24 05:20:33.302,2,13.0,False,,False,True
636,0 days 02:19:07.927000,RIC,3,0 days 00:01:53.984000,57.0,3.0,,,0 days 00:00:40.013000,0 days 00:00:31.824000,0 days 00:00:42.147000,0 days 02:17:53.916000,0 days 02:18:25.740000,0 days 02:19:07.887000,150.0,248.0,228.0,305.0,False,HARD,28.0,True,RB,0 days 02:17:13.943000,2024-03-24 05:21:57.141,2,12.0,False,,False,True
637,0 days 01:00:05.859000,OCO,31,0 days 00:01:36.283000,1.0,1.0,,,,0 days 00:00:18.861000,0 days 00:00:38.167000,,0 days 00:59:27.747000,0 days 01:00:05.935000,268.0,312.0,288.0,228.0,False,MEDIUM,1.0,True,Alpine,0 days 00:58:29.232000,2024-03-24 04:03:12.430,1,15.0,False,,False,False
638,0 days 01:01:30.539000,OCO,31,0 days 00:01:24.680000,2.0,1.0,,,0 days 00:00:30.049000,0 days 00:00:18.139000,0 days 00:00:36.492000,0 days 01:00:35.870000,0 days 01:00:54.009000,0 days 01:01:30.501000,267.0,323.0,303.0,278.0,True,MEDIUM,2.0,True,Alpine,0 days 01:00:05.859000,2024-03-24 04:04:49.057,1,15.0,False,,False,True
639,0 days 01:02:54.116000,OCO,31,0 days 00:01:23.577000,3.0,1.0,,,0 days 00:00:29.145000,0 days 00:00:18.189000,0 days 00:00:36.243000,0 days 01:01:59.646000,0 days 01:02:17.835000,0 days 01:02:54.078000,270.0,322.0,305.0,304.0,True,MEDIUM,3.0,True,Alpine,0 days 01:01:30.539000,2024-03-24 04:06:13.737,1,15.0,False,,False,True
640,0 days 01:04:17.690000,OCO,31,0 days 00:01:23.574000,4.0,1.0,,,0 days 00:00:29.067000,0 days 00:00:18.211000,0 days 00:00:36.296000,0 days 01:03:23.145000,0 days 01:03:41.356000,0 days 01:04:17.652000,269.0,321.0,302.0,310.0,True,MEDIUM,4.0,True,Alpine,0 days 01:02:54.116000,2024-03-24 04:07:37.314,1,14.0,False,,False,True
641,0 days 01:05:41.474000,OCO,31,0 days 00:01:23.784000,5.0,1.0,,,0 days 00:00:29.260000,0 days 00:00:18.166000,0 days 00:00:36.358000,0 days 01:04:46.912000,0 days 01:05:05.078000,0 days 01:05:41.436000,268.0,320.0,304.0,305.0,False,MEDIUM,5.0,True,Alpine,0 days 01:04:17.690000,2024-03-24 04:09:00.888,1,14.0,False,,False,True
642,0 days 01:07:05.315000,OCO,31,0 days 00:01:23.841000,6.0,1.0,,,0 days 00:00:29.312000,0 days 00:00:18.144000,0 days 00:00:36.385000,0 days 01:06:10.748000,0 days 01:06:28.892000,0 days 01:07:05.277000,270.0,322.0,300.0,,False,MEDIUM,6.0,True,Alpine,0 days 01:05:41.474000,2024-03-24 04:10:24.672,1,13.0,False,,False,True
643,0 days 01:08:28.513000,OCO,31,0 days 00:01:23.198000,7.0,1.0,,,0 days 00:00:29.006000,0 days 00:00:18.045000,0 days 00:00:36.147000,0 days 01:07:34.283000,0 days 01:07:52.328000,0 days 01:08:28.475000,272.0,321.0,299.0,306.0,True,MEDIUM,7.0,True,Alpine,0 days 01:07:05.315000,2024-03-24 04:11:48.513,1,11.0,False,,False,True
644,0 days 01:09:51.493000,OCO,31,0 days 00:01:22.980000,8.0,1.0,,,0 days 00:00:28.720000,0 days 00:00:18.308000,0 days 00:00:35.952000,0 days 01:08:57.195000,0 days 01:09:15.503000,0 days 01:09:51.455000,273.0,301.0,288.0,310.0,True,MEDIUM,8.0,True,Alpine,0 days 01:08:28.513000,2024-03-24 04:13:11.711,1,8.0,False,,False,True
